Local time,Open,High,Low,Close,Volume
04.01.2024 06:00:00.000 GMT+0100,701.581,701.581,701.581,701.581,0
04.01.2024 07:00:00.000 GMT+0100,701.581,701.581,701.581,701.581,0
04.01.2024 08:00:00.000 GMT+0100,701.581,701.581,701.581,701.581,0
04.01.2024 09:00:00.000 GMT+0100,706.486,722.090,706.481,719.482,2712.39
04.01.2024 10:00:00.000 GMT+0100,719.480,723.875,718.272,719.676,1491.64
04.01.2024 11:00:00.000 GMT+0100,719.583,720.586,715.980,716.685,1179.94
04.01.2024 12:00:00.000 GMT+0100,716.688,717.583,714.286,716.789,817.81
04.01.2024 13:00:00.000 GMT+0100,716.689,716.892,710.972,713.289,930.92
04.01.2024 14:00:00.000 GMT+0100,713.180,714.382,711.773,714.083,819.93
04.01.2024 15:00:00.000 GMT+0100,714.187,724.383,713.772,719.485,2903.82
04.01.2024 16:00:00.000 GMT+0100,719.580,730.082,718.473,729.073,2678.81
04.01.2024 17:00:00.000 GMT+0100,729.073,729.073,729.073,729.073,0
04.01.2024 18:00:00.000 GMT+0100,729.073,729.073,729.073,729.073,0
04.01.2024 19:00:00.000 GMT+0100,729.073,729.073,729.073,729.073,0
04.01.2024 20:00:00.000 GMT+0100,729.073,729.073,729.073,729.073,0
04.01.2024 21:00:00.000 GMT+0100,729.073,729.073,729.073,729.073,0
04.01.2024 22:00:00.000 GMT+0100,729.073,729.073,729.073,729.073,0
04.01.2024 23:00:00.000 GMT+0100,729.073,729.073,729.073,729.073,0
05.01.2024 00:00:00.000 GMT+0100,729.073,729.073,729.073,729.073,0
05.01.2024 01:00:00.000 GMT+0100,729.073,729.073,729.073,729.073,0
05.01.2024 02:00:00.000 GMT+0100,729.073,729.073,729.073,729.073,0
05.01.2024 03:00:00.000 GMT+0100,729.073,729.073,729.073,729.073,0
05.01.2024 04:00:00.000 GMT+0100,729.073,729.073,729.073,729.073,0
05.01.2024 05:00:00.000 GMT+0100,729.073,729.073,729.073,729.073,0
05.01.2024 06:00:00.000 GMT+0100,729.073,729.073,729.073,729.073,0
05.01.2024 07:00:00.000 GMT+0100,729.073,729.073,729.073,729.073,0
05.01.2024 08:00:00.000 GMT+0100,729.073,729.073,729.073,729.073,0
05.01.2024 09:00:00.000 GMT+0100,729.082,729.199,722.581,723.972,1677.65
05.01.2024 10:00:00.000 GMT+0100,724.089,726.193,723.777,724.382,1269.94
05.01.2024 11:00:00.000 GMT+0100,724.491,724.991,722.180,723.293,1098.35
05.01.2024 12:00:00.000 GMT+0100,723.274,724.793,722.179,724.082,987.04
05.01.2024 13:00:00.000 GMT+0100,724.181,724.899,723.178,723.579,868.23
05.01.2024 14:00:00.000 GMT+0100,723.685,724.992,722.375,724.782,1125.37
05.01.2024 15:00:00.000 GMT+0100,724.772,728.690,721.278,724.891,3343.34
05.01.2024 16:00:00.000 GMT+0100,724.978,727.099,722.491,725.784,3435.17
05.01.2024 17:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
05.01.2024 18:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
05.01.2024 19:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
05.01.2024 20:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
05.01.2024 21:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
05.01.2024 22:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
05.01.2024 23:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
06.01.2024 00:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
06.01.2024 01:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
06.01.2024 02:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
06.01.2024 03:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
06.01.2024 04:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
06.01.2024 05:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
06.01.2024 06:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
06.01.2024 07:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
06.01.2024 08:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
06.01.2024 09:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
06.01.2024 10:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
06.01.2024 11:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
06.01.2024 12:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
06.01.2024 13:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
06.01.2024 14:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
06.01.2024 15:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
06.01.2024 16:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
06.01.2024 17:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
06.01.2024 18:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
06.01.2024 19:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
06.01.2024 20:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
06.01.2024 21:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
06.01.2024 22:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
06.01.2024 23:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
07.01.2024 00:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
07.01.2024 01:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
07.01.2024 02:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
07.01.2024 03:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
07.01.2024 04:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
07.01.2024 05:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
07.01.2024 06:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
07.01.2024 07:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
07.01.2024 08:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
07.01.2024 09:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
07.01.2024 10:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
07.01.2024 11:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
07.01.2024 12:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
07.01.2024 13:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
07.01.2024 14:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
07.01.2024 15:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
07.01.2024 16:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
07.01.2024 17:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
07.01.2024 18:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
07.01.2024 19:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
07.01.2024 20:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
07.01.2024 21:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
07.01.2024 22:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
07.01.2024 23:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
08.01.2024 00:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
08.01.2024 01:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
08.01.2024 02:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
08.01.2024 03:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
08.01.2024 04:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
08.01.2024 05:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
08.01.2024 06:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
08.01.2024 07:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
08.01.2024 08:00:00.000 GMT+0100,725.784,725.784,725.784,725.784,0
08.01.2024 09:00:00.000 GMT+0100,719.872,724.489,717.688,722.289,1537.56
08.01.2024 10:00:00.000 GMT+0100,722.281,722.692,717.977,719.286,1167.95
08.01.2024 11:00:00.000 GMT+0100,719.372,720.489,718.177,719.789,1113.93
08.01.2024 12:00:00.000 GMT+0100,719.878,719.978,718.983,719.685,479.42
08.01.2024 13:00:00.000 GMT+0100,719.683,720.582,719.375,720.175,634.52
08.01.2024 14:00:00.000 GMT+0100,720.182,720.784,718.982,719.976,604.52
