Local time,Open,High,Low,Close,Volume
01.01.2025 00:00:00.000 GMT+0100,620.783,620.783,620.783,620.783,0
01.01.2025 01:00:00.000 GMT+0100,620.783,620.783,620.783,620.783,0
01.01.2025 02:00:00.000 GMT+0100,620.783,620.783,620.783,620.783,0
01.01.2025 03:00:00.000 GMT+0100,620.783,620.783,620.783,620.783,0
01.01.2025 04:00:00.000 GMT+0100,620.783,620.783,620.783,620.783,0
01.01.2025 05:00:00.000 GMT+0100,620.783,620.783,620.783,620.783,0
01.01.2025 06:00:00.000 GMT+0100,620.783,620.783,620.783,620.783,0
01.01.2025 07:00:00.000 GMT+0100,620.783,620.783,620.783,620.783,0
01.01.2025 08:00:00.000 GMT+0100,620.783,620.783,620.783,620.783,0
01.01.2025 09:00:00.000 GMT+0100,620.783,620.783,620.783,620.783,0
01.01.2025 10:00:00.000 GMT+0100,620.783,620.783,620.783,620.783,0
01.01.2025 11:00:00.000 GMT+0100,620.783,620.783,620.783,620.783,0
01.01.2025 12:00:00.000 GMT+0100,620.783,620.783,620.783,620.783,0
01.01.2025 13:00:00.000 GMT+0100,620.783,620.783,620.783,620.783,0
01.01.2025 14:00:00.000 GMT+0100,620.783,620.783,620.783,620.783,0
01.01.2025 15:00:00.000 GMT+0100,620.783,620.783,620.783,620.783,0
01.01.2025 16:00:00.000 GMT+0100,620.783,620.783,620.783,620.783,0
01.01.2025 17:00:00.000 GMT+0100,620.783,620.783,620.783,620.783,0
01.01.2025 18:00:00.000 GMT+0100,620.783,620.783,620.783,620.783,0
01.01.2025 19:00:00.000 GMT+0100,620.783,620.783,620.783,620.783,0
01.01.2025 20:00:00.000 GMT+0100,620.783,620.783,620.783,620.783,0
01.01.2025 21:00:00.000 GMT+0100,620.783,620.783,620.783,620.783,0
01.01.2025 22:00:00.000 GMT+0100,620.783,620.783,620.783,620.783,0
01.01.2025 23:00:00.000 GMT+0100,620.783,620.783,620.783,620.783,0
02.01.2025 00:00:00.000 GMT+0100,620.783,620.783,620.783,620.783,0
02.01.2025 01:00:00.000 GMT+0100,620.783,620.783,620.783,620.783,0
02.01.2025 02:00:00.000 GMT+0100,620.783,620.783,620.783,620.783,0
02.01.2025 03:00:00.000 GMT+0100,620.783,620.783,620.783,620.783,0
02.01.2025 04:00:00.000 GMT+0100,620.783,620.783,620.783,620.783,0
02.01.2025 05:00:00.000 GMT+0100,620.783,620.783,620.783,620.783,0
02.01.2025 06:00:00.000 GMT+0100,620.783,620.783,620.783,620.783,0
02.01.2025 07:00:00.000 GMT+0100,620.783,620.783,620.783,620.783,0
02.01.2025 08:00:00.000 GMT+0100,620.783,620.783,620.783,620.783,0
02.01.2025 09:00:00.000 GMT+0100,623.992,636.191,621.378,633.177,3028.82
02.01.2025 10:00:00.000 GMT+0100,633.182,637.999,631.676,637.977,1652.41
02.01.2025 11:00:00.000 GMT+0100,637.989,639.693,636.473,638.671,1625.41
02.01.2025 12:00:00.000 GMT+0100,638.582,638.588,633.473,634.399,1331.41
02.01.2025 13:00:00.000 GMT+0100,634.389,634.489,631.972,632.387,1240.81
02.01.2025 14:00:00.000 GMT+0100,632.380,640.377,632.377,640.071,1565.11
02.01.2025 15:00:00.000 GMT+0100,639.989,640.692,635.382,638.684,2589.32
02.01.2025 16:00:00.000 GMT+0100,638.990,640.089,638.073,639.077,1754.72
02.01.2025 17:00:00.000 GMT+0100,639.077,639.077,639.077,639.077,0
02.01.2025 18:00:00.000 GMT+0100,639.077,639.077,639.077,639.077,0
02.01.2025 19:00:00.000 GMT+0100,639.077,639.077,639.077,639.077,0
02.01.2025 20:00:00.000 GMT+0100,639.077,639.077,639.077,639.077,0
02.01.2025 21:00:00.000 GMT+0100,639.077,639.077,639.077,639.077,0
02.01.2025 22:00:00.000 GMT+0100,639.077,639.077,639.077,639.077,0
02.01.2025 23:00:00.000 GMT+0100,639.077,639.077,639.077,639.077,0
03.01.2025 00:00:00.000 GMT+0100,639.077,639.077,639.077,639.077,0
03.01.2025 01:00:00.000 GMT+0100,639.077,639.077,639.077,639.077,0
03.01.2025 02:00:00.000 GMT+0100,639.077,639.077,639.077,639.077,0
03.01.2025 03:00:00.000 GMT+0100,639.077,639.077,639.077,639.077,0
03.01.2025 04:00:00.000 GMT+0100,639.077,639.077,639.077,639.077,0
03.01.2025 05:00:00.000 GMT+0100,639.077,639.077,639.077,639.077,0
03.01.2025 06:00:00.000 GMT+0100,639.077,639.077,639.077,639.077,0
03.01.2025 07:00:00.000 GMT+0100,639.077,639.077,639.077,639.077,0
03.01.2025 08:00:00.000 GMT+0100,639.077,639.077,639.077,639.077,0
03.01.2025 09:00:00.000 GMT+0100,635.787,635.787,625.983,627.480,3082.82
03.01.2025 10:00:00.000 GMT+0100,627.476,629.882,626.778,629.174,1730.41
03.01.2025 11:00:00.000 GMT+0100,629.192,631.292,628.675,629.982,1083.61
03.01.2025 12:00:00.000 GMT+0100,629.974,630.387,628.874,629.292,1034.71
03.01.2025 13:00:00.000 GMT+0100,629.179,630.291,627.272,630.291,1122.31
03.01.2025 14:00:00.000 GMT+0100,630.177,632.590,630.172,631.899,1356.01
03.01.2025 15:00:00.000 GMT+0100,631.982,637.787,631.671,634.674,2204.42
03.01.2025 16:00:00.000 GMT+0100,634.788,637.492,634.573,636.283,1738.51
03.01.2025 17:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
03.01.2025 18:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
03.01.2025 19:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
03.01.2025 20:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
03.01.2025 21:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
03.01.2025 22:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
03.01.2025 23:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
04.01.2025 00:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
04.01.2025 01:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
04.01.2025 02:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
04.01.2025 03:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
04.01.2025 04:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
04.01.2025 05:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
04.01.2025 06:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
04.01.2025 07:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
04.01.2025 08:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
04.01.2025 09:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
04.01.2025 10:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
04.01.2025 11:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
04.01.2025 12:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
04.01.2025 13:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
04.01.2025 14:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
04.01.2025 15:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
04.01.2025 16:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
04.01.2025 17:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
04.01.2025 18:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
04.01.2025 19:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
04.01.2025 20:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
04.01.2025 21:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
04.01.2025 22:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
04.01.2025 23:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
05.01.2025 00:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
05.01.2025 01:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
05.01.2025 02:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
05.01.2025 03:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
05.01.2025 04:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
05.01.2025 05:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
05.01.2025 06:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
05.01.2025 07:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
05.01.2025 08:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
05.01.2025 09:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
05.01.2025 10:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
05.01.2025 11:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
05.01.2025 12:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
05.01.2025 13:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
05.01.2025 14:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
05.01.2025 15:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
05.01.2025 16:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
05.01.2025 17:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
05.01.2025 18:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
05.01.2025 19:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
05.01.2025 20:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
05.01.2025 21:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
05.01.2025 22:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
05.01.2025 23:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
06.01.2025 00:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
06.01.2025 01:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
06.01.2025 02:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
06.01.2025 03:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
06.01.2025 04:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
06.01.2025 05:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
06.01.2025 06:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
06.01.2025 07:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
06.01.2025 08:00:00.000 GMT+0100,636.283,636.283,636.283,636.283,0
06.01.2025 09:00:00.000 GMT+0100,631.588,632.191,623.372,626.682,2343.32
06.01.2025 10:00:00.000 GMT+0100,626.772,628.776,625.978,625.982,1525.21
06.01.2025 11:00:00.000 GMT+0100,625.975,627.699,624.573,626.086,1249.51
06.01.2025 12:00:00.000 GMT+0100,625.993,628.589,625.376,627.588,1386.31
06.01.2025 13:00:00.000 GMT+0100,627.682,627.799,624.187,624.671,1224.61
06.01.2025 14:00:00.000 GMT+0100,624.680,624.983,620.575,620.675,1185.61
06.01.2025 15:00:00.000 GMT+0100,620.682,620.889,615.984,617.682,2897.73
06.01.2025 16:00:00.000 GMT+0100,617.684,618.788,615.379,615.990,1839.32
06.01.2025 17:00:00.000 GMT+0100,615.990,615.990,615.990,615.990,0
06.01.2025 18:00:00.000 GMT+0100,615.990,615.990,615.990,615.990,0
06.01.2025 19:00:00.000 GMT+0100,615.990,615.990,615.990,615.990,0
06.01.2025 20:00:00.000 GMT+0100,615.990,615.990,615.990,615.990,0
06.01.2025 21:00:00.000 GMT+0100,615.990,615.990,615.990,615.990,0
06.01.2025 22:00:00.000 GMT+0100,615.990,615.990,615.990,615.990,0
06.01.2025 23:00:00.000 GMT+0100,615.990,615.990,615.990,615.990,0
07.01.2025 00:00:00.000 GMT+0100,615.990,615.990,615.990,615.990,0
07.01.2025 01:00:00.000 GMT+0100,615.990,615.990,615.990,615.990,0
07.01.2025 02:00:00.000 GMT+0100,615.990,615.990,615.990,615.990,0
07.01.2025 03:00:00.000 GMT+0100,615.990,615.990,615.990,615.990,0
07.01.2025 04:00:00.000 GMT+0100,615.990,615.990,615.990,615.990,0
07.01.2025 05:00:00.000 GMT+0100,615.990,615.990,615.990,615.990,0
07.01.2025 06:00:00.000 GMT+0100,615.990,615.990,615.990,615.990,0
07.01.2025 07:00:00.000 GMT+0100,615.990,615.990,615.990,615.990,0
07.01.2025 08:00:00.000 GMT+0100,615.990,615.990,615.990,615.990,0
07.01.2025 09:00:00.000 GMT+0100,602.473,608.185,602.373,608.185,3184.82
07.01.2025 10:00:00.000 GMT+0100,608.579,609.688,601.371,601.883,2176.51
07.01.2025 11:00:00.000 GMT+0100,601.882,606.093,601.882,604.792,1683.31
07.01.2025 12:00:00.000 GMT+0100,604.787,605.672,601.971,604.273,1208.71
07.01.2025 13:00:00.000 GMT+0100,604.289,606.588,603.791,605.393,1170.01
07.01.2025 14:00:00.000 GMT+0100,605.374,605.391,601.991,603.279,1216.2
07.01.2025 15:00:00.000 GMT+0100,603.281,608.386,601.271,606.387,2424.94
07.01.2025 16:00:00.000 GMT+0100,606.381,606.799,600.374,602.571,2293.24
07.01.2025 17:00:00.000 GMT+0100,602.571,602.571,602.571,602.571,0
07.01.2025 18:00:00.000 GMT+0100,602.571,602.571,602.571,602.571,0
07.01.2025 19:00:00.000 GMT+0100,602.571,602.571,602.571,602.571,0
07.01.2025 20:00:00.000 GMT+0100,602.571,602.571,602.571,602.571,0
07.01.2025 21:00:00.000 GMT+0100,602.571,602.571,602.571,602.571,0
07.01.2025 22:00:00.000 GMT+0100,602.571,602.571,602.571,602.571,0
07.01.2025 23:00:00.000 GMT+0100,602.571,602.571,602.571,602.571,0
08.01.2025 00:00:00.000 GMT+0100,602.571,602.571,602.571,602.571,0
08.01.2025 01:00:00.000 GMT+0100,602.571,602.571,602.571,602.571,0
08.01.2025 02:00:00.000 GMT+0100,602.571,602.571,602.571,602.571,0
08.01.2025 03:00:00.000 GMT+0100,602.571,602.571,602.571,602.571,0
08.01.2025 04:00:00.000 GMT+0100,602.571,602.571,602.571,602.571,0
08.01.2025 05:00:00.000 GMT+0100,602.571,602.571,602.571,602.571,0
08.01.2025 06:00:00.000 GMT+0100,602.571,602.571,602.571,602.571,0
08.01.2025 07:00:00.000 GMT+0100,602.571,602.571,602.571,602.571,0
08.01.2025 08:00:00.000 GMT+0100,602.571,602.571,602.571,602.571,0
08.01.2025 09:00:00.000 GMT+0100,607.889,614.583,606.480,612.183,2858.42
08.01.2025 10:00:00.000 GMT+0100,612.287,617.399,612.287,616.973,1482.01
08.01.2025 11:00:00.000 GMT+0100,616.992,624.491,616.681,623.189,1698.01
08.01.2025 12:00:00.000 GMT+0100,623.087,630.191,619.072,623.175,2740.52
08.01.2025 13:00:00.000 GMT+0100,623.190,623.593,619.974,621.384,2448.02
08.01.2025 14:00:00.000 GMT+0100,621.471,626.292,620.074,624.593,2070.32
08.01.2025 15:00:00.000 GMT+0100,625.071,625.191,615.971,619.076,2859.63
08.01.2025 16:00:00.000 GMT+0100,619.074,621.088,617.371,617.893,2398.82
08.01.2025 17:00:00.000 GMT+0100,617.893,617.893,617.893,617.893,0
08.01.2025 18:00:00.000 GMT+0100,617.893,617.893,617.893,617.893,0
08.01.2025 19:00:00.000 GMT+0100,617.893,617.893,617.893,617.893,0
